,Player,Nation,Pos,Squad,Comp,Age,MP,G/90,G/Sh,PKGoals,PKAttempted,Goals,Pass,PassCompleted,PassComp%,Assist,Cross,CrossCompleted,CrossComp%,Tackle_Won,SucDribble,Dribble,DribbleComp%,YCards,RCards,Fls,Fld,OGoals,AerWon,AerLost,AerWon%
1589,Charalambos Lykogiannis,GRE,DF,Cagliari,Serie A,28.0,28,0.05,0.05,0,0,1,757,474,62.62,0,56,7,12.5,15,10,19,52.63,2,0,28,13,0,48,33,59.35
1590,Yannis M'Bemba,FRA,DFFW,Nantes,Ligue 1,20.0,2,0.0,0.0,0,0,0,3,2,66.67,0,0,0,,0,0,0,,0,0,0,1,0,1,0,100.0
1591,Alexis Mac Allister,ARG,MFFW,Brighton,Premier League,23.0,33,0.21,0.05,2,3,5,1080,878,81.3,2,21,3,14.29,51,18,39,46.15,4,0,38,47,0,28,29,49.17
1592,Deiver Machado,COL,DF,Lens,Ligue 1,28.0,22,0.0,0.0,0,0,0,257,216,84.05,1,17,4,23.53,9,7,18,38.89,1,0,5,12,0,5,5,50.0
1593,Darwin Machís,VEN,MFFW,Granada,La Liga,29.0,25,0.26,0.11,0,0,4,437,292,66.82,2,50,12,24.0,16,27,52,51.92,2,0,24,35,0,13,23,36.17
1594,Yvann Macon,FRA,DF,Saint-Étienne,Ligue 1,23.0,22,0.0,0.0,0,0,0,994,751,75.55,0,42,12,28.57,30,22,47,46.81,7,0,23,12,1,15,34,30.56
1595,James Maddison,ENG,MFFW,Leicester City,Premier League,25.0,35,0.44,0.16,0,0,12,1076,779,72.4,8,49,5,10.2,24,36,61,59.02,3,0,26,80,0,6,25,19.3
1596,Niki Mäenpää,FIN,GK,Venezia,Serie A,37.0,17,0.0,0.0,0,0,0,521,348,66.79,1,0,0,,0,0,0,,1,0,1,2,0,0,0,
1597,Pablo Maffeo,ESP,DF,Mallorca,La Liga,24.0,35,0.03,0.03,0,0,1,1319,903,68.46,4,87,22,25.29,55,45,70,64.29,10,0,36,67,0,71,60,54.25
1598,Louis Mafouta,CTA,FW,Metz,Ligue 1,27.0,15,0.34,0.22,0,0,2,142,113,79.58,0,2,0,0.0,1,2,3,66.67,0,0,16,6,0,20,28,41.67
1599,Giulio Maggiore,ITA,MF,Spezia,Serie A,24.0,35,0.06,0.05,0,0,2,1140,861,75.53,3,14,1,7.14,42,18,43,41.86,9,0,76,76,0,34,48,41.6
1600,Matej Maglica,CRO,DF,Stuttgart,Bundesliga,23.0,1,0.0,0.0,0,0,0,1,0,0.0,0,0,0,,0,0,0,,0,0,0,0,0,1,0,100.0
1601,Francesco Magnanelli,ITA,MF,Sassuolo,Serie A,37.0,12,0.0,0.0,0,0,0,254,227,89.37,0,0,0,,4,1,1,100.0,1,0,10,9,0,4,2,66.5
1602,Giangiacomo Magnani,ITA,DF,Sampdoria,Serie A,26.0,4,0.0,0.0,0,0,0,148,127,85.81,0,0,0,,2,0,0,,0,0,3,2,0,8,0,100.0
1603,Giangiacomo Magnani,ITA,DF,Hellas Verona,Serie A,26.0,14,0.0,0.0,0,0,0,223,177,79.37,0,1,0,0.0,12,0,0,,3,1,11,9,0,25,9,73.48
1604,Hugo Magnetti,FRA,MF,Brest,Ligue 1,23.0,28,0.0,0.0,0,0,0,683,582,85.21,1,7,3,42.86,40,10,19,52.63,4,0,26,25,0,9,14,39.01
1605,Yohann Magnin,FRA,MFDF,Clermont Foot,Ligue 1,24.0,24,0.05,0.05,0,0,1,918,752,81.92,0,11,2,18.18,37,7,11,63.64,2,0,24,26,0,34,45,43.0
1606,Harry Maguire,ENG,DF,Manchester Utd,Premier League,29.0,30,0.04,0.04,0,0,1,1515,1322,87.26,0,1,0,0.0,26,3,5,60.0,9,1,23,23,1,102,36,73.94
1607,Riyad Mahrez,ALG,FW,Manchester City,Premier League,31.0,28,0.66,0.13,4,5,11,932,769,82.51,5,54,6,11.11,6,26,44,59.09,0,0,10,18,0,12,16,42.86
1608,Arne Maier,GER,MF,Augsburg,Bundesliga,23.0,29,0.05,0.06,0,0,1,843,611,72.48,6,28,4,14.29,16,18,31,58.06,0,0,14,19,0,19,30,38.82
1609,Habib Maïga,CIV,MFFW,Metz,Ligue 1,26.0,17,0.14,0.18,0,0,2,588,469,79.76,0,15,2,13.33,32,11,15,73.33,6,0,34,12,0,26,16,61.95
1610,Mike Maignan,FRA,GK,Milan,Serie A,26.0,32,0.0,0.0,0,0,0,1149,909,79.11,1,0,0,,0,0,2,0.0,1,0,0,9,0,0,0,
1611,Ainsley Maitland-Niles,ENG,DF,Roma,Serie A,24.0,8,0.0,0.0,0,0,0,321,246,76.64,0,19,3,15.79,3,3,5,60.0,0,0,7,2,0,5,4,55.69
1612,Ainsley Maitland-Niles,ENG,MF,Arsenal,Premier League,24.0,8,0.0,0.0,0,0,0,135,104,77.04,0,1,0,0.0,4,2,7,28.57,0,0,5,2,0,5,4,55.67
1613,Josh Maja,NGA,FW,Bordeaux,Ligue 1,23.0,2,0.0,0.0,0,0,0,6,5,83.33,0,0,0,,0,0,0,,0,0,0,0,0,0,0,
1614,Abdul Majeed Waris,GHA,MFFW,Strasbourg,Ligue 1,30.0,15,0.56,0.29,0,0,2,132,99,75.0,0,4,1,25.0,3,9,16,56.25,1,0,4,14,0,3,7,29.96
1615,Lovro Majer,CRO,MF,Rennes,Ligue 1,24.0,29,0.29,0.13,0,0,6,1067,818,76.66,8,46,6,13.04,37,24,47,51.06,1,0,38,36,0,7,13,34.69
1616,Jean-Victor Makengo,FRA,MF,Udinese,Serie A,23.0,33,0.04,0.03,0,0,1,852,711,83.45,3,8,3,37.5,24,27,42,64.29,7,1,31,41,0,18,23,43.95
1617,Béni Makouana,CGO,FWMF,Montpellier,Ligue 1,19.0,23,0.0,0.0,0,0,0,78,57,73.08,0,6,1,16.67,4,0,2,0.0,4,0,10,1,0,2,10,16.77
1618,Nemanja Maksimovi?,SRB,MF,Getafe,La Liga,27.0,35,0.03,0.03,0,0,1,881,688,78.09,2,11,2,18.18,40,12,18,66.67,5,0,17,18,0,53,50,51.58
1619,Nikola Maksimovi?,SRB,DF,Genoa,Serie A,30.0,14,0.0,0.0,0,0,0,520,436,83.85,0,1,0,0.0,13,0,3,0.0,2,0,14,8,0,38,21,64.42
1620,Kévin Malcuit,MAR,DF,Napoli,Serie A,30.0,8,0.0,0.0,0,0,0,166,118,71.08,1,11,1,9.09,1,2,4,50.0,3,0,10,6,0,6,6,50.0
1621,Daniel Maldini,ITA,MF,Milan,Serie A,20.0,8,0.63,0.33,0,0,1,51,34,66.67,0,1,0,0.0,4,1,2,50.0,1,0,4,1,0,5,4,55.6
1622,Youssef Maleh,ITA,MF,Fiorentina,Serie A,23.0,28,0.18,0.1,0,0,2,427,345,80.8,2,19,5,26.32,19,3,9,33.33,5,0,43,24,0,17,15,53.0
1623,Donyell Malen,NED,FW,Dortmund,Bundesliga,23.0,27,0.27,0.11,0,0,5,541,400,73.94,3,35,5,14.29,12,17,38,44.74,2,0,11,38,0,9,28,24.24
1624,Ruslan Malinovskyi,UKR,FWMF,Atalanta,Serie A,29.0,30,0.34,0.1,0,0,6,918,677,73.75,5,33,7,21.21,15,37,66,56.06,10,0,44,48,0,24,29,45.33
1625,Hugo Mallo,ESP,DF,Celta Vigo,La Liga,30.0,21,0.05,0.06,0,0,1,1240,952,76.77,1,64,11,17.19,28,7,15,46.67,5,2,40,7,0,54,31,63.48
1626,Lennard Maloney,USA,DF,Dortmund,Bundesliga,22.0,2,0.0,0.0,0,0,0,16,13,81.25,0,1,1,100.0,1,0,0,,0,0,0,0,0,2,1,66.67
1627,Mickael Malsa,MTQ,MF,Levante,La Liga,26.0,26,0.08,0.08,0,0,1,533,431,80.86,2,1,0,0.0,28,4,9,44.44,7,0,22,16,0,13,20,39.38
1628,Giorgi Mamardashvili,GEO,GK,Valencia,La Liga,21.0,18,0.0,0.0,0,0,0,495,288,58.18,0,0,0,,0,0,0,,2,0,0,2,0,0,0,
1629,Rey Manaj,ALB,FW,Spezia,Serie A,25.0,30,0.26,0.06,2,3,5,450,340,75.56,0,6,1,16.67,10,19,50,38.0,9,0,61,65,0,72,115,38.47
1630,Hianga Mananga Mbock,FRA,MF,Brest,Ligue 1,22.0,14,0.0,0.0,0,0,0,289,253,87.54,0,0,0,,14,9,12,75.0,3,0,22,9,0,13,9,59.11
1631,Vincent Manceau,FRA,DF,Angers,Ligue 1,32.0,28,0.0,0.0,0,0,0,1608,1430,88.93,0,3,0,0.0,17,3,4,75.0,2,1,14,15,0,20,31,39.18
1632,Gianluca Mancini,ITA,DF,Roma,Serie A,26.0,33,0.0,0.0,0,0,0,1788,1532,85.68,0,8,3,37.5,43,5,7,71.43,16,1,66,16,0,77,42,64.78
1633,Leonardo Mancuso,ITA,FW,Empoli,Serie A,30.0,8,0.21,0.08,0,0,1,79,53,67.09,0,6,2,33.33,0,0,0,,0,0,1,5,0,3,9,25.1
1634,Steve Mandanda,FRA,GK,Marseille,Ligue 1,37.0,9,0.0,0.0,0,0,0,396,319,80.56,0,0,0,,0,0,0,,0,0,0,0,0,0,0,
1635,Reinildo Mandava,MOZ,DF,Lille,Ligue 1,28.0,18,0.06,0.17,0,0,1,964,806,83.61,0,13,1,7.69,33,12,25,48.0,7,0,34,28,0,27,18,59.93
1636,Reinildo Mandava,MOZ,DF,Atlético Madrid,La Liga,28.0,17,0.0,0.0,0,0,0,669,544,81.32,0,8,0,0.0,22,4,9,44.44,5,0,29,22,0,25,21,54.37
1637,Aïssa Mandi,ALG,DF,Villarreal,La Liga,30.0,17,0.07,0.1,0,0,1,982,915,93.18,0,0,0,,6,0,0,,3,0,14,5,1,36,19,65.46
1638,Rolando Mandragora,ITA,MF,Torino,Serie A,24.0,21,0.0,0.0,0,0,0,762,642,84.25,2,12,2,16.67,7,5,10,50.0,7,1,30,23,0,25,19,56.86
1639,Anthony Mandrea,FRA,GK,Angers,Ligue 1,25.0,10,0.0,0.0,0,0,0,275,159,57.82,0,0,0,,0,0,0,,0,0,0,2,0,0,0,
1640,Sadio Mané,SEN,FW,Liverpool,Premier League,30.0,34,0.51,0.16,0,0,16,1093,821,75.11,2,51,6,11.76,18,49,82,59.76,5,0,52,61,0,29,54,34.96
1641,Eliaquim Mangala,FRA,DF,Saint-Étienne,Ligue 1,31.0,14,0.08,0.33,0,0,1,572,500,87.41,0,1,0,0.0,7,3,3,100.0,9,0,18,10,0,37,21,63.8
1642,Orel Mangala,BEL,MF,Stuttgart,Bundesliga,24.0,28,0.05,0.06,0,0,1,795,661,83.14,3,6,0,0.0,14,46,70,65.71,4,0,30,30,0,18,26,40.85
1643,Thomas Mangani,FRA,MF,Angers,Ligue 1,35.0,33,0.29,0.09,6,6,7,1484,1184,79.78,2,31,7,22.58,43,7,9,77.78,6,0,25,17,0,32,34,48.52
1644,Ricardo Mangas,POR,DF,Bordeaux,Ligue 1,24.0,29,0.11,0.18,0,0,3,1075,844,78.51,1,36,2,5.56,21,16,32,50.0,2,0,28,30,1,30,31,49.15
1645,Kostas Manolas,GRE,DF,Napoli,Serie A,30.0,4,0.0,0.0,0,0,0,230,217,94.35,0,0,0,,2,0,0,,1,0,5,0,0,5,4,55.64
1646,Javier Manquillo,ESP,DF,Newcastle Utd,Premier League,28.0,19,0.07,0.25,0,0,1,405,297,73.33,2,10,0,0.0,24,8,12,66.67,5,0,8,18,0,16,15,51.58
1647,Myziane Maolida,FRA,MFFW,Nice,Ligue 1,23.0,1,0.0,0.0,0,0,0,7,4,57.14,0,0,0,,1,0,1,0.0,0,0,0,0,0,0,0,
1648,Myziane Maolida,FRA,FWMF,Hertha BSC,Bundesliga,23.0,14,0.12,0.07,0,0,1,229,162,70.74,1,11,1,9.09,5,12,38,31.58,0,0,11,6,0,9,19,32.21
1649,Sekou Mara,FRA,FW,Bordeaux,Ligue 1,19.0,26,0.59,0.14,1,1,6,205,139,67.8,0,5,1,20.0,8,12,35,34.29,2,0,22,23,0,27,37,42.18
1650,Maranhão,BRA,FWMF,Valencia,La Liga,25.0,29,0.09,0.03,0,0,1,194,121,62.37,3,4,0,0.0,7,14,34,41.18,3,0,23,26,0,40,55,42.09
1651,Nikola Mara,SRB,DF,Rayo Vallecano,La Liga,26.0,16,0.0,0.0,0,0,0,447,380,85.01,0,1,0,0.0,11,0,0,,4,0,12,5,0,40,27,59.69
1652,Fernando Marçal,BRA,DF,Wolves,Premier League,33.0,18,0.0,0.0,0,0,0,869,676,77.79,0,55,5,9.09,26,9,18,50.0,3,0,33,12,0,29,17,62.94
1653,Marcelo,BRA,DF,Real Madrid,La Liga,34.0,11,0.0,0.0,0,0,0,469,386,82.3,2,21,4,19.05,4,9,12,75.0,0,0,3,10,0,1,5,16.39
1654,Marcelo,BRA,DF,Bordeaux,Ligue 1,35.0,11,0.0,0.0,0,0,0,658,560,85.11,0,0,0,,2,2,2,100.0,4,0,7,3,1,42,9,82.35
1655,Marcelo,BRA,DF,Lyon,Ligue 1,35.0,2,0.0,0.0,0,0,0,165,149,90.3,0,1,0,0.0,3,0,0,,1,0,2,1,1,13,8,61.9
1656,Solly March,ENG,DFFW,Brighton,Premier League,27.0,31,0.0,0.0,0,0,0,766,553,72.19,2,63,10,15.87,22,25,44,56.82,1,0,35,23,0,22,38,36.57
1657,Riccardo Marchizza,ITA,DF,Empoli,Serie A,24.0,19,0.0,0.0,0,0,0,648,462,71.3,1,28,9,32.14,11,10,24,41.67,4,0,22,5,1,8,12,39.85
1658,Gian Marco Ferrari,ITA,DF,Sassuolo,Serie A,30.0,36,0.03,0.04,0,0,1,2225,2017,90.65,0,3,1,33.33,11,6,9,66.67,6,1,26,39,0,108,50,68.35
1659,Iván Marcone,ARG,MF,Elche,La Liga,31.0,20,0.0,0.0,0,0,0,434,369,85.02,0,1,1,100.0,15,9,10,90.0,5,0,18,6,0,9,3,75.19
1660,Óscar de Marcos,ESP,DF,Athletic Club,La Liga,33.0,22,0.05,0.33,0,0,1,1131,877,77.54,2,40,10,25.0,33,7,14,50.0,5,0,33,10,0,27,14,65.75
1661,Davide Marfella,ITA,GK,Napoli,Serie A,22.0,1,0.0,0.0,0,0,0,1,1,100.0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,
1662,José Mari,ESP,MF,Cádiz,La Liga,34.0,11,0.0,0.0,0,0,0,192,156,81.25,0,0,0,,5,2,4,50.0,3,1,8,6,0,6,8,42.94
1663,Pablo Marí,ESP,DF,Udinese,Serie A,28.0,15,0.13,0.2,0,0,2,603,429,71.14,0,9,0,0.0,8,2,3,66.67,2,1,23,3,0,58,23,71.64
1664,Pablo Marí,ESP,DF,Arsenal,Premier League,28.0,2,0.0,0.0,0,0,0,86,78,90.7,0,0,0,,2,1,1,100.0,1,0,1,1,0,5,4,55.56
1665,José María Giménez,URU,DF,Atlético Madrid,La Liga,27.0,24,0.04,0.06,0,0,1,917,819,89.31,1,1,0,0.0,16,6,9,66.67,7,0,14,24,0,47,25,65.3
1666,Mariano,DOM,FW,Real Madrid,La Liga,28.0,9,0.26,0.07,0,0,1,58,44,75.86,1,2,0,0.0,2,5,8,62.5,2,0,2,0,0,12,4,75.06
1667,R?zvan Marin,ROU,MF,Cagliari,Serie A,26.0,36,0.0,0.0,0,0,0,1270,989,77.87,5,32,6,18.75,31,18,35,51.43,6,1,34,37,0,25,32,43.96
1668,Guillermo Maripán,CHI,DF,Monaco,Ligue 1,28.0,26,0.0,0.0,0,0,0,1329,1199,90.22,0,2,0,0.0,30,5,5,100.0,5,0,22,11,0,56,42,57.17
1669,Mika Màrmol,ESP,DF,Barcelona,La Liga,19.0,1,0.0,0.0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,
1670,Omar Marmoush,EGY,FWMF,Stuttgart,Bundesliga,23.0,21,0.17,0.06,0,1,3,454,332,73.13,5,15,3,20.0,18,42,101,41.58,3,0,38,63,0,30,40,42.75
1671,Omar Marmoush,EGY,FW,Wolfsburg,Bundesliga,23.0,2,0.0,0.0,0,0,0,8,5,62.5,0,0,0,,1,0,0,,0,0,0,1,0,1,1,50.0
1672,Marquinhos,BRA,DF,Paris S-G,Ligue 1,28.0,32,0.16,0.24,0,0,5,2387,2232,93.51,0,7,2,28.57,19,6,7,85.71,5,0,8,11,0,50,36,58.15
1673,Roger Martí,ESP,FW,Levante,La Liga,31.0,29,0.3,0.13,1,3,7,458,315,68.78,3,10,0,0.0,14,11,27,40.74,8,0,74,28,0,27,79,25.5
1674,Anthony Martial,FRA,FWMF,Sevilla,La Liga,26.0,9,0.0,0.0,0,0,0,158,129,81.65,1,7,1,14.29,4,7,18,38.89,1,0,6,12,0,2,9,18.14
1675,Anthony Martial,FRA,FW,Manchester Utd,Premier League,26.0,8,0.42,0.2,0,0,1,83,65,78.31,0,5,0,0.0,1,5,7,71.43,0,0,1,4,0,5,3,62.46
1676,Martín,ESP,MF,Cádiz,La Liga,23.0,6,0.0,0.0,0,0,0,48,36,75.0,0,2,0,0.0,1,1,1,100.0,1,0,4,1,0,6,3,66.67
1677,Aarón Martín,ESP,DF,Mainz 05,Bundesliga,25.0,28,0.04,0.06,0,0,1,1115,787,70.58,1,74,18,24.32,32,32,50,64.0,7,0,34,17,0,17,28,37.85
1678,Ander Martin,ESP,FWMF,Real Sociedad,La Liga,21.0,5,0.0,0.0,0,0,0,45,35,77.78,0,2,1,50.0,1,1,3,33.33,0,0,4,0,0,1,2,33.33
1679,Andrés Martín,ESP,FWMF,Rayo Vallecano,La Liga,22.0,7,0.0,0.0,0,0,0,35,23,65.71,0,2,0,0.0,0,1,3,33.33,0,0,3,2,0,1,2,33.57
1680,Carlos Martín,ESP,DF,Atlético Madrid,La Liga,20.0,1,0.0,0.0,0,0,0,1,1,100.0,0,1,0,0.0,0,0,0,,1,0,1,0,0,1,1,50.0
1681,Iván Martín,ESP,MF,Alavés,La Liga,23.0,6,0.0,0.0,0,0,0,69,55,79.71,0,3,0,0.0,1,0,2,0.0,0,0,1,1,0,0,8,0.0
1682,Jonas Martin,FRA,MF,Rennes,Ligue 1,32.0,29,0.04,0.05,0,0,1,1682,1527,90.78,1,6,0,0.0,21,4,7,57.14,8,0,32,17,0,21,20,51.43
1683,Martinelli,BRA,FWMF,Arsenal,Premier League,20.0,29,0.29,0.1,1,1,6,612,453,74.02,6,48,5,10.42,19,31,60,51.67,3,1,26,25,0,30,54,35.71
1684,Lucas Martínez Quarta,ARG,DF,Fiorentina,Serie A,26.0,20,0.06,0.06,0,0,1,1119,1021,91.24,0,1,0,0.0,25,13,15,86.67,8,0,29,13,0,53,27,66.2
1685,Emiliano Martínez,ARG,GK,Aston Villa,Premier League,29.0,36,0.0,0.0,0,0,0,1080,781,72.31,0,0,0,,0,1,1,100.0,4,0,0,8,0,0,1,0.0
1686,Iñigo Martínez,ESP,DF,Athletic Club,La Liga,31.0,27,0.12,0.11,0,0,3,1204,968,80.4,0,8,4,50.0,18,1,2,50.0,9,2,34,26,0,84,59,58.73
1687,Javi Martínez,ESP,MF,Osasuna,La Liga,22.0,26,0.1,0.11,0,0,1,398,285,71.61,1,18,1,5.56,14,8,15,53.33,1,0,19,15,0,10,20,33.33
1688,Josep Martinez,ESP,GK,RB Leipzig,Bundesliga,24.0,1,0.0,0.0,0,0,0,22,19,86.36,0,0,0,,0,0,0,,0,0,0,0,0,0,0,
1689,Lautaro Martínez,ARG,FW,Inter,Serie A,24.0,35,0.83,0.16,3,6,21,530,398,75.09,3,18,4,22.22,18,20,49,40.82,6,0,42,58,0,33,51,39.27
1690,Pablo Martínez,ESP,MF,Levante,La Liga,24.0,13,0.0,0.0,0,0,0,259,181,69.88,1,10,1,10.0,8,7,13,53.85,2,0,13,10,0,11,11,50.0
1691,Gelson Martins,POR,FWMF,Monaco,Ligue 1,27.0,32,0.19,0.14,0,0,4,684,523,76.46,3,30,4,13.33,26,53,103,51.46,4,0,27,38,0,20,32,38.37
1692,Adam Marui?,MNE,DF,Lazio,Serie A,29.0,33,0.03,0.11,0,0,1,1884,1639,87.0,0,27,4,14.81,16,17,27,62.96,6,1,28,13,0,45,30,60.08
1693,Omar Mascarell,ESP,MF,Elche,La Liga,29.0,32,0.0,0.0,0,0,0,1205,1044,86.64,0,5,0,0.0,22,11,15,73.33,6,0,46,29,0,44,44,50.0
1694,Andrea Masiello,ITA,DF,Genoa,Serie A,36.0,7,0.0,0.0,0,0,0,310,270,87.1,0,0,0,,8,0,0,,3,0,5,5,0,8,8,50.0
1695,Adam Masina,MAR,DF,Watford,Premier League,28.0,15,0.0,0.0,0,0,0,538,379,70.45,1,18,5,27.78,14,8,10,80.0,0,0,19,5,0,30,15,66.67
1696,Erhan Maovi?,SRB,DF,Bochum,Bundesliga,23.0,20,0.0,0.0,0,0,0,650,507,78.0,0,1,0,0.0,22,2,2,100.0,7,0,18,8,1,34,29,53.95
1697,Roberto Massimo,GER,DFFW,Stuttgart,Bundesliga,21.0,19,0.21,0.1,0,0,2,301,226,75.08,0,16,2,12.5,11,15,37,40.54,0,0,9,7,0,6,13,31.63
1698,Arthur Masuaku,COD,DFFW,West Ham,Premier League,28.0,13,0.14,0.25,0,0,1,376,294,78.19,1,20,2,10.0,19,5,8,62.5,1,0,8,4,0,13,9,59.15
1699,Jaime Mata,ESP,FW,Getafe,La Liga,33.0,22,0.13,0.11,0,0,1,202,134,66.34,0,6,0,0.0,4,5,9,55.56,7,0,23,17,0,26,61,29.91
1700,Juan Mata,ESP,MF,Manchester Utd,Premier League,34.0,7,0.0,0.0,0,0,0,212,183,86.32,0,6,2,33.33,6,4,5,80.0,0,0,2,4,0,0,1,0.0
1701,Pape Matar Sarr,SEN,MF,Metz,Ligue 1,19.0,33,0.04,0.03,0,0,1,1017,845,83.09,3,0,0,,36,30,49,61.22,7,0,35,23,0,34,25,57.66
1702,Eliot Matazo,BEL,MF,Monaco,Ligue 1,20.0,18,0.0,0.0,0,0,0,387,343,88.63,0,2,0,0.0,11,10,18,55.56,1,0,17,9,0,8,13,38.08
1703,Ale Mat?j?,CZE,DF,Venezia,Serie A,25.0,9,0.0,0.0,0,0,0,293,216,73.72,1,16,6,37.5,9,2,3,66.67,3,0,12,8,0,12,4,75.13
1704,Jean-Philippe Mateta,FRA,FW,Crystal Palace,Premier League,24.0,22,0.39,0.14,0,0,5,243,169,69.55,1,9,1,11.11,5,15,25,60.0,2,0,19,10,0,42,53,44.25
1705,Nemanja Mati?,SRB,MF,Manchester Utd,Premier League,33.0,23,0.0,0.0,0,0,0,1007,878,87.19,4,5,1,20.0,28,11,13,84.62,3,0,32,7,0,34,21,61.9
1706,Joël Matip,CMR,DF,Liverpool,Premier League,30.0,31,0.1,0.09,0,0,3,2238,2015,90.04,3,0,0,,36,13,14,92.86,2,0,16,19,0,120,55,68.62
1707,Chrislain Matsima,FRA,DF,Monaco,Ligue 1,20.0,7,0.0,0.0,0,0,0,83,73,87.95,0,0,0,,3,0,0,,0,0,0,1,0,5,1,83.25
1708,Azor Matusiwa,NED,MF,Reims,Ligue 1,24.0,29,0.04,0.1,0,0,1,1180,996,84.41,1,2,1,50.0,47,17,19,89.47,8,1,37,31,0,32,30,51.77
1709,Neal Maupay,FRA,FW,Brighton,Premier League,25.0,32,0.32,0.12,1,2,8,617,478,77.47,2,5,2,40.0,12,29,49,59.18,7,0,37,39,0,24,78,23.57
1710,Stephy Mavididi,ENG,FWMF,Montpellier,Ligue 1,23.0,30,0.31,0.14,0,0,8,577,455,78.86,3,29,6,20.69,13,46,101,45.54,4,0,25,52,0,11,50,17.99
1711,Konstantinos Mavropanos,GRE,DF,Stuttgart,Bundesliga,24.0,31,0.13,0.12,0,0,4,1827,1479,80.95,0,7,1,14.29,39,17,29,58.62,3,0,25,20,0,121,27,81.71
1712,Eric Maxim Choupo-Moting,CMR,FWMF,Bayern Munich,Bundesliga,33.0,20,0.95,0.27,0,0,4,138,101,73.19,2,4,0,0.0,9,13,17,76.47,0,0,9,9,0,9,16,35.97
1713,Luís Maximiano,POR,GK,Granada,La Liga,23.0,34,0.0,0.0,0,0,0,1174,646,55.03,0,0,0,,0,1,1,100.0,2,0,0,3,1,0,0,
1714,Borja Mayoral,ESP,FWDF,Roma,Serie A,25.0,5,0.0,0.0,0,0,0,38,28,73.68,0,1,0,0.0,0,1,4,25.0,0,0,0,2,0,0,0,
1715,Borja Mayoral,ESP,FW,Getafe,La Liga,25.0,18,0.52,0.31,1,1,6,252,194,76.98,1,7,3,42.86,5,14,30,46.67,3,0,13,22,0,23,42,35.36
1716,Derek Mazou-Sacko,FRA,FWDF,Troyes,Ligue 1,17.0,2,0.0,0.0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0.0
1717,Pasquale Mazzocchi,ITA,DF,Salernitana,Serie A,26.0,15,0.0,0.0,0,0,0,565,406,71.86,2,42,9,21.43,15,20,42,47.62,2,0,19,7,0,17,14,55.0
1718,Pasquale Mazzocchi,ITA,DF,Venezia,Serie A,26.0,18,0.0,0.0,0,0,0,580,445,76.72,0,32,2,6.25,12,15,33,45.45,3,0,21,7,0,17,17,50.0
1719,Kevin Mbabu,SUI,DF,Wolfsburg,Bundesliga,27.0,24,0.0,0.0,0,0,0,870,612,70.34,0,49,9,18.37,17,38,81,46.91,4,0,26,24,0,38,22,63.31
1720,Kylian Mbappé,FRA,FW,Paris S-G,Ligue 1,23.0,35,0.83,0.17,4,4,28,1451,1162,80.08,18,86,14,16.28,11,103,208,49.52,10,0,27,58,0,6,11,35.29
1721,Ibrahima Mbaye,SEN,DF,Bologna,Serie A,27.0,6,0.0,0.0,0,0,0,49,35,71.43,0,1,0,0.0,0,1,2,50.0,0,0,2,1,0,3,3,50.0
1722,Amadou Mbengue,SEN,DFMF,Metz,Ligue 1,20.0,12,0.0,0.0,0,0,0,289,244,84.43,0,1,1,100.0,15,2,4,50.0,4,0,12,2,0,6,10,37.45
1723,Bryan Mbeumo,FRA,FW,Brentford,Premier League,22.0,35,0.12,0.04,1,1,4,813,542,66.67,7,54,5,9.26,25,35,74,47.3,4,0,23,41,0,34,123,21.6
1724,Jason Mbock,FRA,FW,Angers,Ligue 1,22.0,1,0.0,0.0,0,0,0,5,3,60.0,0,0,0,,0,0,0,,1,0,0,2,0,0,2,0.0
1725,Jordi Mboula,ESP,FW,Mallorca,La Liga,23.0,11,0.0,0.0,0,0,0,91,52,57.14,0,12,0,0.0,3,9,14,64.29,2,0,7,9,0,12,14,46.13
1726,Moustapha Mbow,SEN,DF,Reims,Ligue 1,22.0,1,0.0,0.0,0,0,0,27,22,81.48,0,0,0,,4,1,1,100.0,0,0,0,0,0,1,0,100.0
1727,Nathanael Mbuku,FRA,FWMF,Reims,Ligue 1,20.0,31,0.13,0.06,0,0,2,370,268,72.43,1,22,1,4.55,13,27,44,61.36,1,0,11,45,0,13,12,51.9
1728,James McArthur,SCO,MF,Crystal Palace,Premier League,34.0,21,0.0,0.0,0,0,0,926,772,83.37,3,15,7,46.67,26,17,23,73.91,4,0,31,22,0,33,34,49.16
1729,James Mcatee,ENG,MFFW,Manchester City,Premier League,19.0,2,0.0,0.0,0,0,0,14,10,71.43,0,0,0,,0,1,1,100.0,0,0,2,0,0,1,0,100.0
1730,Kasey McAteer,ENG,FW,Leicester City,Premier League,20.0,1,0.0,0.0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,
1731,Liam McCarron,SCO,FW,Leeds United,Premier League,21.0,1,0.0,0.0,0,0,0,2,2,100.0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,
1732,Alex McCarthy,ENG,GK,Southampton,Premier League,32.0,17,0.0,0.0,0,0,0,510,314,61.57,0,0,0,,0,0,0,,1,0,0,1,0,0,0,
