,Player,Nation,Pos,Squad,Comp,Age,MP,G/90,G/Sh,PKGoals,PKAttempted,Goals,Pass,PassCompleted,PassComp%,Assist,Cross,CrossCompleted,CrossComp%,Tackle_Won,SucDribble,Dribble,DribbleComp%,YCards,RCards,Fls,Fld,OGoals,AerWon,AerLost,AerWon%
341,Kevin Bonifazi,ITA,DF,Bologna,Serie A,26.0,22,0.0,0.0,0,0,0,675,558,82.67,0,3,1,33.33,19,14,16,87.5,4,1,16,11,1,36,17,67.93
342,Solomon Bonnah,NED,DF,RB Leipzig,Bundesliga,18.0,1,0.0,0.0,0,0,0,3,3,100.0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,
343,Leonardo Bonucci,ITA,DF,Juventus,Serie A,35.0,24,0.22,0.14,3,3,5,1279,1105,86.4,0,2,0,0.0,7,3,5,60.0,1,0,20,9,0,45,40,53.02
344,Sebastiaan Bornauw,BEL,DF,Wolfsburg,Bundesliga,23.0,27,0.04,0.08,0,0,1,1164,1004,86.25,0,2,0,0.0,22,2,3,66.67,4,0,25,6,0,84,52,61.8
345,Rafael Borré,COL,FW,Eint Frankfurt,Bundesliga,26.0,31,0.3,0.16,0,0,8,711,518,72.86,4,29,2,6.9,27,31,61,50.82,5,0,47,29,0,61,147,29.31
346,Sven Botman,NED,DF,Lille,Ligue 1,22.0,25,0.12,0.2,0,0,3,1492,1330,89.14,1,0,0,,25,2,4,50.0,4,0,19,11,0,74,27,73.27
347,Denis Bouanga,GAB,FWMF,Saint-Étienne,Ligue 1,27.0,34,0.33,0.11,0,0,9,801,552,68.91,6,60,8,13.33,30,69,148,46.62,4,1,55,51,0,70,86,44.87
348,Hicham Boudaoui,ALG,MF,Nice,Ligue 1,22.0,29,0.17,0.19,0,0,3,663,504,76.02,2,42,8,19.05,21,20,39,51.28,7,0,31,24,0,16,15,51.74
349,Ryad Boudebouz,ALG,MFFW,Saint-Étienne,Ligue 1,32.0,30,0.12,0.07,1,1,3,1554,1224,78.76,4,50,4,8.0,19,49,70,70.0,2,0,16,32,0,14,62,18.42
350,Sofiane Boufal,MAR,FWMF,Angers,Ligue 1,28.0,29,0.31,0.08,3,3,8,1023,774,75.66,4,52,4,7.69,33,95,184,51.63,6,0,49,82,0,12,47,20.26
351,Farid Boulaya,ALG,MFFW,Metz,Ligue 1,29.0,24,0.24,0.21,0,0,4,736,488,66.3,2,38,5,13.16,9,15,27,55.56,1,1,7,19,0,11,20,35.52
352,Yassine Bounou,MAR,GK,Sevilla,La Liga,31.0,31,0.0,0.0,0,0,0,1073,812,75.68,2,0,0,,0,1,1,100.0,2,0,0,4,0,0,1,0.0
